,�..Serial.No,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment,Theme,Flavor,sub.theme,After Effect,Cooking time,Flavor/Taste,Nutrition,Packaging,Price,Texture,Max,match,Predicted Theme,set,,,
81,81,6303,B0046H89Z6,XXX,XXX,0,0,3,1339200000,It's not bad- matches discription!,"Very crunchy and salty, just like described. I can also tell they use a lot of artificial  color. Not the best caviar. Might be really good for sushi!",Negative,,Artifical,Flavor/Taste,0.096561957,0.055647475,0.2101877,0.141280255,0.111783509,0.123472851,0.08135754,0.2101877,3,Flavor/Taste,Train,,,
82,82,6429,B000OIT8T2,XXX,XXX,0,0,5,1309737600,Childhood taste,"I just love skittles! For a while we had them here in Brazil (South America), but then for some reason I couldn't find them anymore, so when my aunt is coming down for a visit I ask her to bring me some. This time I decided to spare her the shopping trouble and I bought it through Amazon and had it sent to her place. The bag was a bit larger than I expected, but I guess this was a good thing, right?",Positive,,Sweet,Flavor/Taste,0.069771262,0.059555297,0.160489923,0.117097965,0.082536786,0.108798476,0.065112189,0.160489923,3,Flavor/Taste,Train,,,
83,83,6618,B001LG945O,XXX,XXX,0,0,4,1246320000,Serve On the Rocks,"I have to agree with several other reviews here that state the ""The Switch Orange Tangerine"" is too sweet on it's own. I ended up making a cool summer drink out of the can that I tried - served over ice & mixed with soda water. It was fantastic! The soda water/ice mixture helps cut down on the sweetness and improves on the refreshment factor.<br /><br />A little more about ""The Switch""... The can claims that this product is 100% Carbonated Juice with ""No Sugar Added"" and ""No Preservatives"". One can is 8.3 fluid ounces and provides 140 Calories. Total Sugars per can are 34g; 36g of carbs. One can provides 100% of the daily recommended dose of Vitamin C.<br /><br />That being said, I can't see myself drinking ""The Switch"" everyday. Even without preservatives and added sugars this drink still packs in a lot of sugar in every can. Though to be fair, I rarely drink soda or sweetened carbonated beverages. Still, for a nice alternative to the standard soda I recommend ""The Swtich"". The Tangerine flavor is reminiscent of Tang.",Positive,Beverage,Sweet,Flavor/Taste,0.095300764,0.086509992,0.322528268,0.249295396,0.076274024,0.140100026,0.139983615,0.322528268,3,Flavor/Taste,Train,,,
84,84,6681,B001LG945O,XXX,XXX,0,0,2,1245715200,tinged with vitamin C,"Switch is a tangy drink that's more reminiscent of Sprite than Orange Juice. It's carbonated all the way and you will even burp after it as you would've after consuming any soft drink. The drink doesn't feel sugary, but a quick glance at the nutritional facts reveals that each can contains 34 grams of sugar. The claim on the can is that there are no additional sugars added, so I'm assuming that's the sugar from the orange and tangerine. The can",Positive,,Tangy,Flavor/Taste,0.090373403,0.033588058,0.225540412,0.180916125,0.052046373,0.078197547,0.077941092,0.225540412,3,Flavor/Taste,Train,,,
85,85,6744,B001LG945O,XXX,XXX,0,0,4,1236556800,"A Carbonated Juice That Tastes Like Orange Soda with a Tangy Tangerine Chaser, Fleshed Out by Filler Juices","This relatively expensive convenience-packaged item is 100 percent juice and contains 140 calories worth of concentrated apple, grape, tangerine, orange, and acerola juice reconstituted with carbonated water; acacia gum; some soy; and added vitamin C to provide 100 percent of the adult minimum daily requirement. There are no artificial flavors or additives which allows the manufacturer to describe this as a ""natural"" beverage.<br /><br />I often mix juice with seltzer water, and I like the combination quite cold. The Switch Orange Tangerine tasted more like orange soda with a tangerine chaser than what I am used to as juice flavor.<br /><br />The carbonation makes the drink seem lighter than juice, but not as light and refreshing to the mouth as juice and seltzer.<br /><br />The tangerine flavor made the taste seem more appealing than orange soda, but the orange and tangerine flavors don't last as long as soda flavors do on the palate.<br /><br />I would drink this again on a hot day if I could buy it inexpensively enough.",Positive,,Fruity,Flavor/Taste,0.101604786,0.082316118,0.315666671,0.18439102,0.077170914,0.091373908,0.123650987,0.315666671,3,Flavor/Taste,Train,,,
86,86,6807,B001LG945O,XXX,XXX,0,0,5,1235520000,Great Taste,I love the taste of this soda. It's sweet with no bitter aftertaste that can be found in some orange sodas. I'd never guess this was a natural drink from the taste alone.<br /><br />My only complaint would be the serving size. It's correct for a serving size but not what I'm used to in a soda can. (12 oz.),Positive,,Sweet,Flavor/Taste,0.070816843,0.054184579,0.243735736,0.137833329,0.04221162,0.060869887,0.090146073,0.243735736,3,Flavor/Taste,Train,,,
87,87,6870,B001LG945O,XXX,XXX,0,1,4,1246060800,All natural refreshment,This tangerine soda reminds me a lot of the drink called orangina but with a pronounced tangerine flavor.<br /> It is basically an all natural carbonated juice. It is very refreshing and pleasant tasting. Over all I like it a lot.,Positive,,Tangy,Flavor/Taste,0.056006827,0.038655049,0.215868773,0.129343501,0.027794143,0.046890535,0.062167817,0.215868773,3,Flavor/Taste,Train,,,
88,88,6933,B001LG945O,XXX,XXX,0,0,5,1250726400,Actually tastes like real oranges,"I really enjoyed this soda. I used to be a big fan of Orangina a few years ago but Switch Orange Tangerine is WAY better -especially if your looking for a true orangey taste. A cold one of these would be very refreshing on a hot summer day. Tastes sort of like real orange juice mixed with seltzer, which begs the question why not just mix it yourself? (if your at home that is). But I wouldn't hesitate buying one of these when out and about. Very tasty.",Positive,,Tangy,Flavor/Taste,0.121650678,0.112922032,0.283483617,0.185493853,0.095320618,0.088964856,0.140785286,0.283483617,3,Flavor/Taste,Train,,,
89,89,7185,B001EO5YHK,XXX,XXX,0,0,5,1337212800,Yummy nuts,Awesome tasting nuts!  Love them?  Will be ordering them again.  The entire neighborhood wants to eat them all but I am stingy.,Positive,,Nutty,Flavor/Taste,0.118658957,0.041394976,0.138766637,0.121651946,0.086450883,0.077287454,0.092332765,0.138766637,3,Flavor/Taste,Train,,,
90,90,7437,B002GWMCIS,XXX,XXX,0,0,5,1302134400,Great Raspberry Flavor,We really enjoy this coffee. We recommend to store it in an airtight container after opening to maintain it's full flavor. We enjoy it as an evening coffee.,Positive,,Fruity,Flavor/Taste,0.179645187,0.08379866,0.233098213,0.156415787,0.114956934,0.101963927,0.077250009,0.233098213,3,Flavor/Taste,Train,,,
91,91,7500,B00126EQ88,XXX,XXX,0,0,3,1267833600,Country Bacon,"The product was fair, not as ""country"" as I would like, but better than you find in a grocery store.",Positive,Meat,Meaty,Flavor/Taste,0.058860262,0.055521503,0.193803364,0.140653604,0.085296907,0.133490349,0.045298882,0.193803364,3,Flavor/Taste,Train,,,
92,92,7563,B002UQ7NP2,XXX,XXX,0,0,5,1303171200,It's GREAT!,"I am a fan of the Bellini drink, white peach puree and Prosecco (a Italian sparkling wine) and I was NOT disappointed.  I mainly brew it for ice tea.  I disagree with some of reviewers in that not only do you taste the raspberries and peaches you can also taste the sparking wine.  This is my primary drink in the summer.  To give it a little kick I will sometimes add a peach liquor or peach flavored rum.  I recommend it highly",Positive,Drinks,Fruity,Flavor/Taste,0.081503732,0.051361392,0.160209642,0.078639207,0.026884701,0.070440696,0.058763341,0.160209642,3,Flavor/Taste,Train,,,
93,93,7941,B000RHXIGO,XXX,XXX,0,0,5,1344124800,Andrew Weil recommends a little hot spice to help stimulate blood flow,"Who knew that when I bought this 4 years ago that I was also getting something good for my health.  Saw a recent Dr. Oz show with Andrew Weil and he had a great Puttanesca recipe and one of the ingredients was dried red pepper.  By the way the recipe is just as good without the tuna.  I sprinkle a little of my Habanero powder as a substitute for the red pepper flakes.<br /><br />You don't need much of the powder it is very good quality, if you see it you probably used to much.  I put some of the powder on almost anything.  The best part?  I had no idea I was buying a life time supply, after 4 years I think I have barely used a tenth, my family makes a little fun of me about that but I don't mind, I love it, the powder and the humor.  Very highly recommended.",Positive,,Spice,Flavor/Taste,0.115206306,0.143046866,0.221847937,0.230125032,0.111420707,0.146063584,0.139278241,0.230125032,4,Nutrition,Train,,,
94,94,8256,B000E15DFM,XXX,XXX,0,0,5,1302048000,"Bit salty, but otherwise excellent.","I'm not a huge fan of salt, so take that warning with a grain of, well... you know.  For most people the salt on these is probably fine.  They stay crispy over long periods of storage, even after the package has been opened and split into tupperware containers, they're reasonably sturdy, they pair well with all but the saltiest cheeses (wouldn't put blues on them), they pair GREAT with unsalted pb... just a great all-around cracker to keep in the house.  They've become a staple of my diet and, unlike every other cracker I've bought in bulk, and there have been many, they haven't developed some weird off-flavor due to over-familiarization or the cracker becoming stale.  They still taste good, like a simple cracker.  I'll be ordering them again!",Positive,,Salt and pepper,Flavor/Taste,0.076656548,0.092010921,0.183469043,0.22099332,0.176688978,0.113823134,0.128151653,0.22099332,4,Nutrition,Train,,,
95,95,8319,B003VXFK44,XXX,XXX,2,3,2,1287446400,Great name but I didn't care for it,I drink about 4 to 6 cups of coffee every morning - I'm always looking for a new flavor - so I gave it a try - I drank it but I would not order again. steve,Positive,,Coffee,Flavor/Taste,0.269743907,0.146706391,0.247618882,0.118820546,0.152814637,0.132374797,0.118787425,0.269743907,1,After Effect,Train,,,
96,96,8382,B003VXFK44,XXX,XXX,0,0,5,1336089600,A great cup of coffee,I truly enjoy a good cup of coffee. It does give me a lift in the morning. Wolfgang Puck really knows how to produce a fine cup. Thanks.,Positive,,Coffee,Flavor/Taste,0.193676809,0.122493076,0.218714022,0.102253312,0.105553548,0.106568441,0.060400885,0.218714022,3,Flavor/Taste,Train,,,
97,97,8445,B003VXFK44,XXX,XXX,0,0,5,1327017600,Best darn coffee :),I love this coffee - it's one of my all time favorites - it has the best flavor and I like the light roast.<br /><br />EXCELLENT!!!!,Positive,,Coffee,Flavor/Taste,0.211342514,0.15622814,0.290971851,0.126451182,0.236616653,0.141037212,0.178710151,0.290971851,3,Flavor/Taste,Train,,,
98,98,8508,B003VXFK44,XXX,XXX,0,0,5,1312848000,Wolfgang Puck Hawaiian Hazelnut,This is my #1 favorite coffee. Blending of hazelnut and coconut are perfect.  Thank you!!<br /><br />Question:  why was I charged postage on this brand when I have never paid on any other brand of K-Cups from Amazon,Positive,,Nutty,Flavor/Taste,0.209618316,0.122880087,0.248107085,0.115384524,0.140501724,0.123494428,0.101059734,0.248107085,3,Flavor/Taste,Train,,,
99,99,8571,B003VXFK44,XXX,XXX,0,0,5,1298592000,Rich and wonderful,"Creme Caramel is by far my newest favorite!  Great coffee flavor, not too weak, with a wonderful caramel aroma!",Positive,,Sweet,Flavor/Taste,0.099375427,0.047707027,0.179938431,0.053559578,0.042038418,0.084408,0.101455527,0.179938431,3,Flavor/Taste,Train,,,
100,100,8634,B003VXFK44,XXX,XXX,0,0,5,1285200000,light vanilla flavor,"Light vanilla favor....not overpowering. Nice coffee, the first box that was purchased was too light on the vanilla flavor and aroma....surprisingly the 2nd box was much better.  One of my new favorites.",Positive,,Vannilla,Flavor/Taste,0.118885791,0.05529059,0.220061649,0.059882204,0.146643241,0.10639519,0.150349179,0.220061649,3,Flavor/Taste,Train,,,
101,101,8697,B003VXFK44,XXX,XXX,2,2,5,1332892800,Best K-cup Coffee!,I bought the Kuerig because I love the Dunkin Original and Green Mountain Nantucket Blend.  Rodeo Drive has now become my favorite.  It is very delicious and smooth.,Positive,,Coffee,Flavor/Taste,0.124744436,0.049392443,0.173328713,0.067484822,0.047067146,0.052198474,0.119282443,0.173328713,3,Flavor/Taste,Train,,,
102,102,8886,B001EQ5EQE,XXX,XXX,0,0,5,1313798400,Smooth to the last drop,"This espresso is delicious.  It's strong, but not too strong, and full-bodied and it's terrific for making cappuccino.  This brand is probably my favorite.",Positive,,Coffee,Flavor/Taste,0.077450091,0.028649372,0.152632992,0.093311979,0.0645881,0.026165307,0.061946976,0.152632992,3,Flavor/Taste,Train,,,
103,103,9075,B006N3IG4K,XXX,XXX,0,0,5,1341014400,Best High-quality K cup,This is the best k cup coffee that we have been able to find.  Very rich flavors and a medium + roast.  We love this one!,Positive,,Coffee,Flavor/Taste,0.276112031,0.100670559,0.281277803,0.093697103,0.100087215,0.136590671,0.08281397,0.281277803,3,Flavor/Taste,Train,,,
104,104,9138,B006N3IG4K,XXX,XXX,0,0,5,1329004800,Nice flavorful and full-bodied.,A very nice flavor with no after-taste. It gives off a nice fragrance while brewing and has a very satisfying taste. You have to have another cup!,Positive,,Coffee,Flavor/Taste,0.119533198,0.069573647,0.21707137,0.086682465,0.056896861,0.122443422,0.135352073,0.21707137,3,Flavor/Taste,Train,,,
105,105,9264,B006N3IG4K,XXX,XXX,0,0,3,1303344000,"Good flavor, but bad pod quality","The flavor of this coffee is good, it has a nice balance of Vanilla without being too strong.  It's not the boldest coffee, but it's a nice afternoon treat.<br /><br />That being said, I have had problems with several pods.  When you hold them up to the light, you can see that there are grounds outside of the filter portion of the pod.  This causes a cup full of grounds when you brew the coffee, and also clogs up the pin at the bottom of the pod chamber.  I'd say about 1 out of every 5 or 6 pods has this problem.",Positive,,Vannilla,Flavor/Taste,0.175879013,0.128217079,0.196588113,0.077609378,0.089472864,0.178136498,0.095567978,0.196588113,3,Flavor/Taste,Train,,,
106,106,9327,B006N3IG4K,XXX,XXX,0,0,3,1291507200,Great Taste!,"I love this coffee!  I am not a strong coffee drinker and this coffee is perfect!  I have no problems with it working in my Cuisinart Keurig Brewer, I aways get the perfect tasting cup of coffee.<br /><br />I gave it 3 stars because one of the 2 packs contained only 13 K-Cups and not the 24 that it was supposed to have.<br /><br />The decaf 24-count (pack of 2) arrived with the correct amount of K-cups and is as yummy as the high test!",Positive,,Coffee,Flavor/Taste,0.267139938,0.18009551,0.254664798,0.140140054,0.20742996,0.172172599,0.130608572,0.267139938,1,After Effect,Train,,,
107,107,9453,B000ZPOXCQ,XXX,XXX,3,3,5,1256342400,Terrific cassoulet,I purchased this cassoulet for my wife's birthday dinner. I never tried this brand of cassoulet before. It was delicious. The sausage was excellent. The duck was good. The general flavor was superb.,Positive,,Meaty,Flavor/Taste,0.076972109,0.055258312,0.178029224,0.112501148,0.054445597,0.058858228,0.114383855,0.178029224,3,Flavor/Taste,Train,,,
108,108,9579,B000TFKMSG,XXX,XXX,0,0,5,1318204800,Where are you Stride Fruit Gum?,it is too bad that I can't find this product locally any longer.  It was a favorite in our household.  Now my source is Amazon and I'm just as happy with that as I was before.  It has a great flavor that is long lasting.,Negative,,Fruity,Flavor/Taste,0.108956649,0.116212915,0.218940872,0.176321087,0.102478879,0.168199854,0.151688105,0.218940872,3,Flavor/Taste,Train,,,
109,109,9894,B000F47E00,XXX,XXX,4,5,5,1165190400,Excellent Buy!,"Vanilla beans in our area cost $6 for one and up to $11 for two.  I like to make my own vanilla extract and I also like vanilla flavored sugar which requires whole beans.  I probably have a lifetime supply of vanilla beans now, but with Amazon's excellent price on this item, I can use them freely and order again if I need to.  Thanks Amazon!",Positive,,Vannilla,Flavor/Taste,0.058751765,0.036849269,0.193439302,0.104049645,0.108418711,0.126034527,0.058712695,0.193439302,3,Flavor/Taste,Train,,,
110,110,10146,B003EML8PM,XXX,XXX,0,0,5,1312156800,pork rinds,My husband & I discovered this item while shopping a while back and fell in love with them.  they are so fresh when you take them out of the microwave.  We like the spices on them.  You just have to remember to take them out of the microwave as soon as the bag rises.,Positive,,Spice,Flavor/Taste,0.062927302,0.105976664,0.135165082,0.058169293,0.051583455,0.045139331,0.044344525,0.135165082,3,Flavor/Taste,Train,,,
111,111,10272,B003EML8PM,XXX,XXX,3,3,5,1255737600,"Excellent --- Low fat, high flavor","For pork rind lovers these are the best.  Hot, spicy, low fat and crunchy.",Positive,,Spice,Flavor/Taste,0.022190721,0.103507518,0.135465007,0.061638325,0.042780927,0.048619872,0.084372396,0.135465007,3,Flavor/Taste,Train,,,
112,112,10398,B00720JZQQ,XXX,XXX,0,0,4,1339977600,Delicious!,Omaha Steaks' Franks are really quite delicious but I could not find out what meats are put into them so I only buy them on rare occasions.  Their web site is really geared for pure beef products with no explanations for products of multiple origins.  I know my sister has multiple GI problems but she can eat one of these every once in a while without a stomach upset.  She does complain of the salt content though.  If you don't care how these hotdogs are made then I highly recommend them for great flavor.,Positive,,Meaty,Flavor/Taste,0.117345472,0.102440839,0.210304603,0.179250168,0.084368705,0.105255248,0.091679104,0.210304603,3,Flavor/Taste,Train,,,
113,113,10461,B0034CE9FI,XXX,XXX,0,0,5,1344988800,My favorite candy of all time!,I have been searching in the grocery store for these caramel pops for ages!  I used to suck on the during my kids sporting events.  As good as I remembered them!,Positive,,Sweet,Flavor/Taste,0.042361816,0.075898882,0.159023811,0.076771163,0.026269006,0.078450238,0.04475991,0.159023811,3,Flavor/Taste,Train,,,
114,114,10524,B001BM6Q0Y,XXX,XXX,1,1,5,1272672000,Wonderful heart healthy soup!,"I LOVE this soup!  I have right sided heart failure, and need to watch my salt intake.  This soup is as close to 'Tomato Bisque"" by Campbell's, as you can possibly get.  You need to try this :)",Positive,,Tangy,Flavor/Taste,0.033903576,0.035619468,0.153165804,0.103333084,0.037778821,0.044541352,0.047915387,0.153165804,3,Flavor/Taste,Train,,,
115,115,10713,B00389Q4XW,XXX,XXX,0,0,4,1290297600,yummy!,"I am diabetic and I don't like artificial sugar, but I really like this hot chocolate.  Sweet enough and also has enough chocolate flavor.  I love it.",Positive,,Cocoa,Flavor/Taste,0.086129617,0.060180565,0.266514688,0.200075196,0.05227648,0.107735472,0.094989091,0.266514688,3,Flavor/Taste,Train,,,
116,116,10839,B0034KP00S,XXX,XXX,1,1,5,1328140800,Incredible!,"These almonds are nothing short of incredible- they are so delicious! If you are trying to follow a low-carb lifestyle (for dietary reasons or weight loss) and need a 'sweet fix' after meals, then this is a wonderful option - only 6 g. Net carbs! And the taste is so yummy! They are just sweet enough! I'm so glad that amazon sells them in bulk, because I could easily go through one container in a week!",Positive,,Nutty,Flavor/Taste,0.064169708,0.053879502,0.177109615,0.121762044,0.064014929,0.1071787,0.064453891,0.177109615,3,Flavor/Taste,Train,,,
117,117,10965,B001BIXK7K,XXX,XXX,3,3,5,1280448000,Great Stuff,"One drop of this stuff will make almost anyone cry for mercy. It has 1.5 million scoville units which measure heat in food. FYI your average Jalape&ntilde;o Pepper has 2,500-8,000 s.u. A Habanero chili can have upwards of 350k s.u. A Bhut Jolokia (ghost chili) is the hottest known naturally occurring chili and that has around upwards of 1 million s.u. The Final Answer is 50% hotter than the hottest grown chili. If you want something to break out at parties this is it. I have yet to give it to someone who hasn't shown physical signs of pain. Even people who eat hot foods on a regular basis will still find this stuff extremely hot. I have had lots of fun with the stuff and would recommend it to anyone.",Positive,,Spice,Flavor/Taste,0.094480462,0.09858816,0.160681782,0.115191301,0.088660658,0.106409787,0.130278791,0.160681782,3,Flavor/Taste,Train,,,
118,118,11217,B001KVPC0G,XXX,XXX,4,4,4,1207267200,A 'Flavorite' Treat,"Very tasty and great for a late night snack, a sitting at your desk snack, and/or a traveling treat . If you're not a big fan of salty treats, steer clear.",Positive,,Salt and pepper,Flavor/Taste,0.069668823,0.045863859,0.127065122,0.099713136,0.037764751,0.047375526,0.09134564,0.127065122,3,Flavor/Taste,Train,,,
119,119,11280,B000E21Z7Q,XXX,XXX,0,0,5,1345334400,Kay's Natural Pretzel Sticks Cinnamon Toast,Bit size pretzel sticks are delicious.  Small packages of these sweet and salty pretzels satisfy my cravings for foods I should not be eating.  They are made of nutricious ingredients that follow my weight reduction diet and can be used as one of my mini meals.  Buying them in quantity for discount pricing is a great bonus!,Positive,,Spice,Flavor/Taste,0.104171558,0.099471718,0.180668895,0.187870361,0.086333658,0.128133046,0.122947321,0.187870361,4,Nutrition,Train,,,
120,120,11406,B0040PYN86,XXX,XXX,2,2,4,1304380800,Libby's Unpeeled Apricot Halves in Pear Juice Concentrate,"I was looking for the old fashion in,heavy syrup Apricots,but this as close as I've found.I just add a quarter cup of sugar and cool or freeze it and enjoy. Yum!",Positive,,Fruity,Flavor/Taste,0.050401568,0.054544841,0.157340037,0.092277601,0.068433025,0.063386101,0.094625193,0.157340037,3,Flavor/Taste,Train,,,
121,121,11469,B004BW45Q8,XXX,XXX,5,5,5,1291075200,Unique buttery flavor with less salt.,"I don't know if they use less salt or not, but all I can say is these olives were a pleasant surprise the first time I bought them in a store.  They have a wonderful buttery-ripe olive flavor and don't seem quite as salty as most olives do.  I wish these were easier to find at the grocery store, or that Amazon would carry this as a subscribe & save item so the shipping wouldn't be so high!  I can't imagine paying twice as much for shipping as the cost for one can of olives!  They don't weight that much!",Positive,,Salt and pepper,Flavor/Taste,0.098838777,0.084357486,0.21632531,0.134462826,0.118930685,0.138481007,0.076716382,0.21632531,3,Flavor/Taste,Train,,,
122,122,11532,B005HB4HGU,XXX,XXX,3,3,5,1337385600,Excellent Flavor,This is the first time I have used land mined salt.  I usually use salt from various sea sources.  After reading several reviews here on Amazon I decided to try this salt.  I was very pleasantly surprised the first time I tasted the salt. The flavor was fresh and subtle.  Not like the salt you usually buy in the grocery stores. Plus it has a lot of trace minerals your body needs.  I highly recommend this salt.,Positive,,Salt and pepper,Flavor/Taste,0.086297114,0.065057645,0.226997421,0.113698292,0.071804552,0.078591287,0.099965298,0.226997421,3,Flavor/Taste,Train,,,
123,123,11721,B000O3HWN6,XXX,XXX,0,0,4,1327622400,Beautiful and good tasting,"Very beautiful and added a wonderful appearance to some of our Christmas Cookies.  Tasted good as well, with no bitter or chemical flavor.  A good alternative to all the frosting that is popular these days on cookies.",Positive,,Sweet,Flavor/Taste,0.070826801,0.029212047,0.182715309,0.181347554,0.123019984,0.082652261,0.162167375,0.182715309,3,Flavor/Taste,Train,,,
124,124,11910,B001CD1VI4,XXX,XXX,1,1,5,1253318400,Good flavor,"I decided to give these a try, but was a little nervous about the flavor -- I normally go with chocolate or oatmeal raisin. These are great! Kind of fruity, but very good.<br />I think these are perfect for mornings where I don't have time for breakfast and want something I can grab and eat while driving or once I'm at the office.",Positive,,Fruity,Flavor/Taste,0.113079527,0.126650103,0.214241031,0.145798211,0.092697645,0.085799889,0.102214691,0.214241031,3,Flavor/Taste,Train,,,
125,125,12351,B000VZZS9M,XXX,XXX,0,0,5,1334880000,Childhood memories,"I was thrilled when I found, Walkers Brazil Nut Toffee, online at a good price. This brought back good memories, as it was a favorite of my Dad. I will be buying more. Highly recommend this toffee.",Positive,,Nutty,Flavor/Taste,0.077214428,0.054852982,0.153679666,0.16135412,0.113715069,0.145589268,0.073454819,0.16135412,4,Nutrition,Train,,,
126,126,12666,B000FKL0EU,XXX,XXX,0,0,5,1174435200,"Hard To Find ""Wintergreen Mints""!!","I am very pleased with this product, the expiration dates are really good-I got a fresh product and in a very reasonable time.  I will order from your company all the time now.  Thank You for your very good service!  Sincerely, Dianne L. D'Andrea",Positive,,Mint,Flavor/Taste,0.088743388,0.087002555,0.163448695,0.155356267,0.225282994,0.158065212,0.066960335,0.225282994,5,Packaging,Train,,,
127,127,12729,B001ELLB4S,XXX,XXX,1,1,5,1295136000,awesome,"I was a little scared to get a whole tub of these because i had previously gotten the hemp sample pack, with one of the single serve packets of this in it. But i figured it would be worth having around as a quick meal on the go. I was right. I put the recommended four tablespoons in, a little water, some soy milk, a banana and ice and blend away. It is not super sweet or too grainy. I like that it has a lot of fiber and the chocolate taste is noticably delicious. I plan on making this a monthly buy.",Positive,,Cocoa,Flavor/Taste,0.074929388,0.111780192,0.222996715,0.165584716,0.139407729,0.078463084,0.159122524,0.222996715,3,Flavor/Taste,Train,,,
128,128,12855,B001FUT6LS,XXX,XXX,0,4,1,1311897600,Dark Chocolate? Not On Your Life,"These Sweetleaf ""flavored"" products are only for people who want something really sweet with just the very barest whiff of some flavor (you probably won't even be able to tell which one it is). If you're looking for a product that's about half sweetness and half flavor, THIS ISN'T IT. I urge you to save your money and look for another solution.",Negative,,Artifical,Flavor/Taste,0.146265924,0.029811582,0.239800402,0.207847727,0.132464085,0.175733391,0.115741518,0.239800402,3,Flavor/Taste,Train,,,
129,129,12918,B0036FOV2O,XXX,XXX,0,0,5,1308441600,Best coffee we've ever had,We were very disappointed when Costco did'nt carry it anymore. When I found it on Amazon it really made our day. We were Starbucks fans for so long and when we took a chance on this Rwandan coffee it turned out to be better than Starbucks! GOOD STUFF!!!,Positive,,Coffee,Flavor/Taste,0.11898971,0.153367762,0.162284527,0.101300663,0.108247686,0.093898191,0.046520764,0.162284527,3,Flavor/Taste,Train,,,
130,130,12981,B000QY3MYG,XXX,XXX,0,0,4,1348531200,Gift Worthy Box of Cookies,"The Presidor Allegro Crispy Cookies with Hazelnut Filling are a tasty, crunchy treat with kind of a dry center.  When I see filling, I think of creamy filling, but this was more of a dried Hazelnut paste.  The cookies have a good flavor and there are two rows of them in a nice box.  The box is presentable enough for the cookies to be a little gift for someone.  I enjoyed them hence the 4 stars, but I don't really crave them as a cookie favorite or 5 stars.  At the right price, I would buy them again.",Positive,,Nutty,Flavor/Taste,0.064616238,0.089519701,0.188291839,0.178261923,0.143989698,0.118508615,0.204805885,0.204805885,7,Texture,Train,,,
131,131,13296,B003H26J5I,XXX,XXX,1,1,5,1340150400,Surprisingly noodle like,"I really like these little noodles. I am on the Dukan diet and I really miss pasta, so I thought I'd give the tofu noodles a try. I followed the directions on the package to rinse thoroughly, drain, and then heat for a minute or so in the microwave to dry them out. I used a couple of very short sprays of oil and stir fried them with fresh garlic, canned chopped tomatoes, red pepper flakes, and then added some scallions and cilantro at the end. Very delicious and hit the spot for my pasta craving! I will definitely purchase again!",Positive,,Spice,Flavor/Taste,0.069798528,0.062654899,0.198221781,0.134443456,0.070352355,0.060809855,0.141156369,0.198221781,3,Flavor/Taste,Train,,,
132,132,13359,B001BSBFUO,XXX,XXX,0,0,5,1335398400,A good alternative for dogs that won't take the beef flavored pockets,We own a boarding kennel and often have dogs that need a pill pocket to take their meds - some won't eat the beef flavor but are willing to take the chicken flavor.  Great way to convince a dog to take their medications!,Positive,,Chicken,Flavor/Taste,0.087219414,0.070720295,0.142711,0.144471491,0.062043431,0.106911701,0.087972436,0.144471491,4,Nutrition,Train,,,
133,133,13674,B000V8XXZK,XXX,XXX,3,3,5,1251417600,Super Sour Blue,"I love sour candy.  The more sour, the better.  And these sour belts are SOUR!!<br /><br />They also turn your mouth completely blue.  Lips, tongue, and even your teeth.  Especially if you overdo it, like I tend to do.  They so addictive!<br /><br />The blue food coloring is easily brushed off the teeth, but expect at least a full day before your tongue and lips turn back to normal.<br /><br />These babies contain malic acid, the secret to their incredible sourness.  Taken in too great a quantity, malic acid can have an odd effect on the taste buds.  Nothing you eat later will taste right.  The effect goes away after about a day, too.<br /><br />Sounds like an awful lot of fuss just to have sour belts, huh?  But if you like sour like I like sour, it's definitely worth it.<br /><br />These belts are not delivered in a hard plastic case, but in a clear plastic bag.  You get a lot of them!  Store them in a resealable container to keep them soft and fresh.",Positive,,Tangy,Flavor/Taste,0.14566037,0.103071264,0.169964675,0.155931331,0.117089874,0.114489288,0.112136461,0.169964675,3,Flavor/Taste,Train,,,
134,134,13926,B002OFZIV0,XXX,XXX,0,0,3,1334707200,Wouldn't buy it again,"I'm a big fan of Buffalo chicken and beef jerky, so I thought I'd love the Jack Link's Flamin Buffalo Chicken Nuggets.  I was wrong.  I bought the Steak Nuggets as well, which aren't as good as Jack Link's jerky, but definitely tasted better than the Buffalo Chicken Nuggets.<br />To put it bluntly, they tasted like an old chunk of salty chicken with a slight Buffalo flavor.  They're not very spicy, I was expecting more of a kick.  They also smelled a little funny.  I'd give Buffalo chicken jerky a try, but I won't be buying these ever again. They're OK, but there's so many better options out there.",Negative,,,Flavor/Taste,0.067360552,0.046310275,0.151498063,0.130046886,0.076458638,0.06663569,0.083676014,0.151498063,3,Flavor/Taste,Train,,,
135,135,14367,B001CWV4PA,XXX,XXX,0,0,3,1281398400,tastes like egg,"These are the best glutin free ritz-like crackers...but that's not exactly a praise.  The cheese are not not bad, but the plain ones taste like egg.  A lot of gluten-free breads and crackers use egg as the lacking ""glue""...and you can always taste it.  Yuck! All of that being said, the plain ones are ok when made into peanut butter sandwiches and all of the crackers are pretty good with a dip or chicken/tuna salad...sigh.",Negative,,,Flavor/Taste,0.06214638,0.043521731,0.177133232,0.202531773,0.097719815,0.10784138,0.136621158,0.202531773,4,Nutrition,Train,,,
